Tempo,Item,Taxa de giro em X,Taxa de giro em Y,Taxa de giro em Z,Aceleração em Z,Pitch,Roll,
Segundos,it,º/s,º/s,º/s,g,º,º,
1681,349,0,0,0,1.000,0,0,
1686,350,0,0,0,1.003,0,0,
1690,351,0,0,0,0.996,0,0,
1696,352,0,0,0,0.997,0,0,
1701,353,0,0,0,0.993,0,0,
1706,354,0,0,0,1.001,0,0,
1711,355,0,0,0,1.000,0,0,
1716,356,0,0,0,0.997,0,0,
1720,357,0,0,0,1.001,0,0,
1725,358,0,0,0,1.000,0,0,
1730,359,0,0,0,0.994,0,0,
1734,360,0,0,0,1.001,0,0,
1739,361,0,0,0,0.996,0,0,
1744,362,0,0,0,1.000,0,0,
1749,363,0,0,0,0.876,0,0,
1753,364,0,0,0,0.989,0,0,
1758,365,0,0,0,0.996,0,0,
1763,366,0,0,0,0.998,0,0,
1769,367,0,0,0,1.001,0,0,
1774,368,0,0,0,1.006,0,0,
1779,369,0,0,0,1.122,0,0,
1784,370,0,0,0,0.877,0,0,
1788,371,0,0,0,1.003,0,0,
1793,372,0,0,0,1.000,0,0,
1798,373,0,0,0,0.996,0,0,
1803,374,0,0,0,0.999,0,0,
1808,375,0,0,0,0.998,0,0,
1813,376,0,0,0,0.995,0,0,
1818,377,0,0,0,0.875,0,0,
1823,378,0,0,0,1.003,0,0,
1827,379,0,0,0,1.003,0,0,
1832,380,0,0,0,1.003,0,0,
1837,381,0,0,0,1.122,0,0,
1842,382,0,0,0,0.999,0,0,
1847,383,0,0,0,1.001,0,0,
1851,384,0,0,0,0.997,0,0,
1856,385,0,0,0,0.993,0,0,
1861,386,0,0,0,0.991,0,0,
1866,387,0,0,0,1.120,0,0,
1871,388,0,0,0,0.876,0,0,
1876,389,0,0,0,0.875,0,0,
1881,390,0,0,0,0.996,0,0,
1886,391,0,0,0,1.000,0,0,
1890,392,0,0,0,0.995,0,0,
1895,393,0,0,0,1.002,0,0,
1900,394,0,0,0,0.877,0,0,
1905,395,0,0,0,0.998,0,0,
1910,396,0,0,0,0.995,0,0,
1915,397,0,0,0,0.997,0,0,
1920,398,0,0,0,1.000,0,0,
1925,399,0,0,0,1.009,0,0,
1929,400,0,0,0,1.005,0,0,
1934,401,0,0,0,1.005,0,0,
1939,402,0,0,0,1.000,0,0,
1944,403,0,0,0,1.002,0,0,
1948,404,0,0,0,0.878,0,0,
1953,405,0,0,0,1.008,0,0,
1958,406,0,0,0,1.003,0,0,
1962,407,0,0,0,0.992,0,0,
1967,408,0,0,0,1.000,0,0,
1973,409,0,0,0,0.996,0,0,
1978,410,0,0,0,0.999,0,0,
1982,411,0,0,0,1.000,0,0,
1987,412,0,0,0,1.002,0,0,
1992,413,0,0,0,1.000,0,0,
1997,414,0,0,0,0.993,0,0,
2002,415,0,0,0,1.000,0,0,
2007,416,0,0,0,1.000,0,0,
2011,417,0,0,0,1.000,0,0,
2016,418,0,0,0,0.989,0,0,
2021,419,0,0,0,0.995,0,0,
2026,420,0,0,0,0.999,0,0,
2031,421,0,0,0,0.998,0,0,
2036,422,0,0,0,0.998,0,0,
2040,423,0,0,0,1.004,0,0,
2045,424,0,0,0,1.117,0,0,
2050,425,0,0,0,0.992,0,0,
2055,426,0,0,0,1.000,0,0,
2059,427,0,0,0,1.002,0,0,
2064,428,0,0,0,1.002,0,0,
2069,429,0,0,0,1.000,0,0,
2074,430,0,0,0,0.993,0,0,
2079,431,0,0,0,1.003,0,0,
2084,432,0,0,0,0.876,0,0,
2089,433,0,0,0,0.999,0,0,
2094,434,0,0,0,1.000,0,0,
2098,435,0,0,0,1.121,0,0,
2103,436,0,0,0,1.003,0,0,
2108,437,0,0,0,1.003,0,0,
2113,438,0,0,0,0.995,0,0,
2118,439,0,0,0,1.000,0,0,
2123,440,0,0,0,1.001,0,0,
2127,441,0,0,0,1.001,0,0,
2132,442,0,0,0,1.002,0,0,
2137,443,0,0,0,1.003,0,0,
2142,444,0,0,0,0.999,0,0,
2147,445,0,0,0,1.001,0,0,
2151,446,0,0,0,1.005,0,0,
2156,447,0,0,0,1.008,0,0,
2161,448,0,0,0,1.007,0,0,
2166,449,0,0,0,1.002,0,0,
2170,450,0,0,0,1.006,0,0,
2176,451,0,0,0,0.992,0,0,
2180,452,0,0,0,1.006,0,0,
2186,453,0,0,0,1.123,0,0,
2190,454,0,0,0,0.998,0,0,
2195,455,0,0,0,0.997,0,0,
2200,456,0,0,0,1.003,0,0,
2205,457,0,0,0,0.997,0,0,
2210,458,0,0,0,1.003,0,0,
2214,459,0,0,0,0.999,0,0,
2219,460,0,0,0,0.994,0,0,
2224,461,0,0,0,1.124,0,0,
2229,462,0,0,0,0.996,0,0,
2233,463,0,0,0,1.008,0,0,
2238,464,0,0,0,1.000,0,0,
2243,465,0,0,0,0.998,0,0,
2248,466,0,0,0,0.997,0,0,
2253,467,0,0,0,1.006,0,0,
2258,468,0,0,0,0.993,0,0,
2262,469,0,0,0,1.001,0,0,
2267,470,0,0,0,1.004,0,0,
2272,471,0,0,0,1.002,0,0,
2277,472,0,0,0,0.993,0,0,
2282,473,0,0,0,0.997,0,0,
2287,474,0,0,0,1.008,0,0,
2292,475,0,0,0,0.993,0,0,
2297,476,0,0,0,0.996,0,0,
2302,477,0,0,0,0.999,0,0,
2307,478,0,0,0,0.995,0,0,
2312,479,0,0,0,0.999,0,0,
2316,480,0,0,0,0.887,0,0,
2321,481,0,0,0,0.996,0,0,
2326,482,0,0,0,0.996,0,0,
2330,483,0,0,0,0.993,0,0,
2335,484,0,0,0,0.998,0,0,
2340,485,0,0,0,0.995,0,0,
2345,486,0,0,0,0.998,0,0,
2350,487,0,0,0,0.999,0,0,
2355,488,0,0,0,1.000,0,0,
2359,489,0,0,0,1.124,0,0,
2364,490,0,0,0,0.997,0,0,
2369,491,0,0,0,1.001,0,0,
2374,492,0,0,0,0.999,0,0,
2379,493,0,0,0,0.876,0,0,
2384,494,0,0,0,0.999,0,0,
2388,495,0,0,0,1.006,0,0,
2393,496,0,0,0,1.003,0,0,
2398,497,0,0,0,0.994,0,0,
2403,498,0,0,0,0.997,0,0,
2408,499,0,0,0,1.008,0,0,
2413,500,0,0,0,0.999,0,0,
2418,501,0,0,0,0.875,0,0,
2423,502,0,0,0,1.000,0,0,
2427,503,0,0,0,1.000,0,0,
2432,504,0,0,0,1.124,0,0,
2437,505,0,0,0,1.008,0,0,
2441,506,0,0,0,0.997,0,0,
2446,507,0,0,0,0.996,0,0,
2451,508,0,0,0,1.007,0,0,
2456,509,0,0,0,1.000,0,0,
2461,510,0,0,0,0.993,0,0,
2466,511,0,0,0,1.124,0,0,
2471,512,0,0,0,0.998,0,0,
2475,513,0,0,0,0.881,0,0,
2480,514,0,0,0,1.001,0,0,
2485,515,0,0,0,0.996,0,0,
2490,516,0,0,0,1.004,0,0,
2494,517,0,0,0,0.997,0,0,
2499,518,0,0,0,0.997,0,0,
2505,519,0,0,0,0.998,0,0,
2510,520,0,0,0,0.999,0,0,
2515,521,0,0,0,0.992,0,0,
2520,522,0,0,0,0.997,0,0,
2524,523,0,0,0,1.005,0,0,
2529,524,0,0,0,1.007,0,0,
2534,525,0,0,0,0.994,0,0,
2538,526,0,0,0,0.999,0,0,
2543,527,0,0,0,0.995,0,0,
2548,528,0,0,0,1.000,0,0,
2553,529,0,0,0,1.006,0,0,
2558,530,0,0,0,0.994,0,0,
2563,531,0,0,0,1.121,0,0,
2567,532,0,0,0,1.000,0,0,
2572,533,0,0,0,0.995,0,0,
2577,534,0,0,0,1.001,0,0,
2582,535,0,0,0,0.997,0,0,
2587,536,0,0,0,1.006,0,0,
2591,537,0,0,0,1.002,0,0,
2596,538,0,0,0,0.995,0,0,
2601,539,0,0,0,1.121,0,0,
2606,540,0,0,0,0.998,0,0,
2612,541,0,0,0,1.003,0,0,
2616,542,0,0,0,1.003,0,0,
2621,543,0,0,0,0.999,0,0,
2626,544,0,0,0,1.007,0,0,
2631,545,0,0,0,1.003,0,0,
2635,546,0,0,0,1.003,0,0,
2640,547,0,0,0,1.001,0,0,
2645,548,0,0,0,1.001,0,0,
2649,549,0,0,0,1.003,0,0,
2654,550,0,0,0,1.002,0,0,
2659,551,0,0,0,1.002,0,0,
2664,552,0,0,0,1.004,0,0,
2669,553,0,0,0,1.005,0,0,
2674,554,0,0,0,1.001,0,0,
2678,555,0,0,0,1.005,0,0,
2684,556,0,0,0,1.000,0,0,
2688,557,0,0,0,0.997,0,0,
2693,558,0,0,0,0.991,0,0,
2698,559,0,0,0,1.001,0,0,
2703,560,0,0,0,0.992,0,0,
2708,561,0,0,0,1.000,0,0,
2713,562,0,0,0,0.999,0,0,
2718,563,0,0,0,1.008,0,0,
2723,564,0,0,0,0.995,0,0,
2727,565,0,0,0,0.877,0,0,
2732,566,0,0,0,0.998,0,0,
2737,567,0,0,0,1.003,0,0,
2742,568,0,0,0,0.876,0,0,
2746,569,0,0,0,0.999,0,0,
2751,570,0,0,0,0.995,0,0,
2756,571,0,0,0,0.999,0,0,
2761,572,0,0,0,0.997,0,0,
2765,573,0,0,0,1.005,0,0,
2770,574,0,0,0,0.998,0,0,
2775,575,0,0,0,1.000,0,0,
2780,576,0,0,0,1.002,0,0,
2785,577,0,0,0,0.997,0,0,
2790,578,0,0,0,0.999,0,0,
2795,579,0,0,0,1.003,0,0,
2799,580,0,0,0,1.005,0,0,
2804,581,0,0,0,1.000,0,0,
2810,582,0,0,0,0.996,0,0,
2815,583,0,0,0,1.005,0,0,
2819,584,0,0,0,1.002,0,0,
2824,585,0,0,0,1.003,0,0,
2829,586,0,0,0,0.993,0,0,
2834,587,0,0,0,0.876,0,0,
2839,588,0,0,0,0.996,0,0,
2843,589,0,0,0,0.999,0,0,
2848,590,0,0,0,0.999,0,0,
2853,591,0,0,0,1.001,0,0,
2858,592,0,0,0,1.000,0,0,
2862,593,0,0,0,1.008,0,0,
2867,594,0,0,0,1.005,0,0,
2872,595,0,0,0,0.994,0,0,
2877,596,0,0,0,0.999,0,0,
2882,597,0,0,0,1.010,0,0,
2887,598,0,0,0,0.999,0,0,
2892,599,0,0,0,1.000,0,0,
2896,600,0,0,0,0.996,0,0,
2901,601,0,0,0,1.006,0,0,
2906,602,0,0,0,1.000,0,0,
2911,603,0,0,0,0.997,0,0,
2916,604,0,0,0,0.997,0,0,
2921,605,0,0,0,1.002,0,0,
2925,606,0,0,0,1.002,0,0,
2931,607,0,0,0,0.993,0,0,
2935,608,0,0,0,0.998,0,0,
2940,609,0,0,0,1.003,0,0,
2945,610,0,0,0,1.007,0,0,
2949,611,0,0,0,1.003,0,0,
2954,612,0,0,0,1.000,0,0,
2959,613,0,0,0,1.000,0,0,
2964,614,0,0,0,0.999,0,0,
2969,615,0,0,0,0.994,0,0,
2973,616,0,0,0,0.996,0,0,
2978,617,0,0,0,1.000,0,0,
2983,618,0,0,0,1.003,0,0,
2988,619,0,0,0,0.997,0,0,
2993,620,0,0,0,1.007,0,0,
2998,621,0,0,0,0.998,0,0,
3003,622,0,0,0,0.876,0,0,
3008,623,0,0,0,1.002,0,0,
3013,624,0,0,0,0.997,0,0,
3017,625,0,0,0,0.996,0,0,
3022,626,0,0,0,1.000,0,0,
3027,627,0,0,0,0.877,0,0,
3032,628,0,0,0,1.122,0,0,
3037,629,0,0,0,1.003,0,0,
3042,630,0,0,0,0.996,0,0,
3046,631,0,0,0,0.997,0,0,
3051,632,0,0,0,1.121,0,0,
3056,633,0,0,0,0.882,0,0,
3061,634,0,0,0,1.003,0,0,
3066,635,0,0,0,0.997,0,0,
3070,636,0,0,0,1.000,0,0,
3075,637,0,0,0,1.124,0,0,
3080,638,0,0,0,0.997,0,0,
3085,639,0,0,0,0.997,0,0,
3090,640,0,0,0,0.876,0,0,
3095,641,0,0,0,1.004,0,0,
3100,642,0,0,0,0.999,0,0,
3104,643,0,0,0,0.998,0,0,
3109,644,0,0,0,1.000,0,0,
3114,645,0,0,0,1.123,0,0,
3119,646,0,0,0,1.119,0,0,
3124,647,0,0,0,1.002,0,0,
3129,648,0,0,0,1.000,0,0,
3133,649,0,0,0,0.996,0,0,
3138,650,0,0,0,0.875,0,0,
3143,651,0,0,0,0.998,0,0,
3148,652,0,0,0,0.998,0,0,
3153,653,0,0,0,0.997,0,0,
3157,654,0,0,0,0.997,0,0,
3162,655,0,0,0,0.997,0,0,
3167,656,0,0,0,1.002,0,0,
3172,657,0,0,0,1.004,0,0,
3176,658,0,0,0,0.994,0,0,
3181,659,0,0,0,1.003,0,0,
3186,660,0,0,0,1.002,0,0,
3191,661,0,0,0,0.997,0,0,
3196,662,0,0,0,0.999,0,0,
3201,663,0,0,0,0.992,0,0,
3206,664,0,0,0,0.999,0,0,
3211,665,0,0,0,0.997,0,0,
3216,666,0,0,0,1.000,0,0,
3221,667,0,0,0,1.117,0,0,
3226,668,0,0,0,0.997,0,0,
3230,669,0,0,0,0.992,0,0,
3235,670,0,0,0,1.001,0,0,
3240,671,0,0,0,1.002,0,0,
3245,672,0,0,0,0.999,0,0,
3250,673,0,0,0,1.125,0,0,
3254,674,0,0,0,1.003,0,0,
3259,675,0,0,0,1.000,0,0,
3264,676,0,0,0,0.877,0,0,
3269,677,0,0,0,0.993,0,0,
3274,678,0,0,0,0.997,0,0,
3279,679,0,0,0,1.001,0,0,
